"gender","age","marital_status","highest_qualification","nationality","gross_income","region","smoke"
"Female",36,"Single","GCSE","British","Low","The North","No"
"Male",89,"Separated","Without","British","Low","The North","No"
"Female",64,"Married","Without","British","Low","The North","No"
"Female",76,"Married","Without","English","Low","The North","No"
"Female",76,"Married","Without","English","Low","The North","No"
"Female",61,"Married","Without","English","Low","The North","No"
"Female",81,"Separated","GCSE","English","Low","The North","No"
"Female",20,"Single","Without","British","Low","The North","Yes"
"Female",82,"Separated","Without","English","Low","The North","No"
"Female",23,"Single","GCSE","British","Low","The North","Yes"
"Male",41,"Married","GCSE","English","High","The North","No"
"Female",31,"Single","A Levels","British","Moderate","The North","No"
"Female",44,"Married","A Levels","English","Moderate","The North","Yes"
"Female",42,"Married","University","Scottish","Moderate","The North","No"
"Male",67,"Separated","Without","British","Low","The North","Yes"
"Male",53,"Married","University","English","Moderate","The North","No"
"Male",76,"Married","Without","English","Moderate","The North","No"
"Male",40,"Married","Sub Degree","English","Low","The North","Yes"
"Male",44,"Married","A Levels","British","Moderate","The North","No"
"Female",31,"Separated","GCSE","British","Moderate","The North","Yes"
"Male",43,"Separated","Sub Degree","English","Low","The North","Yes"
"Female",36,"Separated","A Levels","British","Moderate","The North","No"
"Female",34,"Separated","GCSE","British","Moderate","The North","No"
"Female",18,"Single","GCSE","English","Low","The North","Yes"
"Male",56,"Married","Without","English","Low","The North","No"
"Female",73,"Married","Without","British","Low","The North","No"
"Female",22,"Single","GCSE","English","Low","The North","Yes"
"Female",33,"Single","GCSE","English","Moderate","The North","No"
"Male",27,"Single","ONC","British","Moderate","The North","Yes"
"Female",33,"Married","GCSE","British","Moderate","The North","No"
"Female",63,"Married","Without","English","Low","The North","No"
"Female",64,"Married","A Levels","British","Low","The North","No"
"Male",54,"Married","University","British","High","The North","No"
"Female",34,"Married","University","English","Low","The North","No"
"Male",78,"Married","Without","English","Moderate","The North","No"
"Female",54,"Married","Without","British","Low","The North","No"
"Male",56,"Separated","GCSE","English","High","The North","No"
"Male",78,"Separated","Without","English","Low","The North","No"
"Female",37,"Married","A Levels","British","Low","The North","No"
"Male",54,"Married","University","British","High","The North","No"
"Female",40,"Married","GCSE","British","Moderate","The North","Yes"
"Female",64,"Separated","Without","English","Low","The North","No"
"Female",42,"Married","GCSE","Other","Low","The North","No"
"Female",34,"Married","Sub Degree","British","Low","The North","No"
"Female",64,"Married","Without","English","Low","The North","No"
"Female",50,"Separated","Sub Degree","English","Moderate","The North","No"
"Female",31,"Married","ONC","English","Moderate","The North","No"
"Female",37,"Married","University","English","High","The North","No"
"Male",81,"Married","University","English","Moderate","The North","No"
"Male",57,"Separated","Without","Welsh","Low","The North","Yes"
"Female",59,"Married","Sub Degree","English","Low","The North","No"
"Male",66,"Married","University","English","Moderate","The North","No"
"Male",57,"Married","Without","English","Moderate","The North","No"
"Female",78,"Separated","Without","English","Low","The North","No"
"Male",49,"Married","University","English","Moderate","The North","No"
"Female",62,"Married","GCSE","English","Moderate","The North","No"
"Female",17,"Single","GCSE","English","Low","The North","No"
"Female",36,"Single","GCSE","English","Moderate","The North","No"
"Female",61,"Married","Sub Degree","English","Moderate","The North","Yes"
"Male",71,"Separated","Without","English","Moderate","The North","Yes"
"Female",75,"Separated","Without","English","Low","The North","Yes"
"Female",43,"Married","Sub Degree","English","High","The North","No"
"Female",65,"Separated","University","English","Moderate","The North","No"
"Female",85,"Separated","Without","British","Low","The North","No"
"Female",35,"Separated","GCSE","English","Low","The North","Yes"
"Female",52,"Married","Sub Degree","British","Moderate","The North","No"
"Female",28,"Single","ONC","English","Low","The North","Yes"
"Male",52,"Single","ONC","English","Moderate","The North","No"
"Male",67,"Separated","Without","Other","Low","The North","Yes"
"Female",35,"Separated","Without","English","Low","The North","Yes"
"Female",68,"Married","Without","English","Low","The North","No"
"Female",34,"Married","Sub Degree","Other","Moderate","The North","No"
"Female",57,"Separated","Without","British","Low","The North","Yes"
"Male",37,"Married","Sub Degree","English","Moderate","The North","Yes"
"Female",37,"Separated","Without","English","Low","The North","Yes"
"Male",43,"Separated","Without","British","Moderate","The North","Yes"
"Male",59,"Separated","GCSE","British","Low","The North","No"
"Female",28,"Single","University","Scottish","Moderate","The North","No"
"Female",60,"Married","Without","English","Low","The North","No"
"Male",16,"Single","GCSE","British","Low","The North","No"
"Male",37,"Single","Without","British","Low","The North","Yes"
"Male",34,"Married","Without","English","Moderate","The North","No"
"Female",73,"Married","Without","British","Low","The North","No"
"Male",24,"Single","GCSE","English","Moderate","The North","No"
"Female",36,"Single","Sub Degree","British","Moderate","The North","No"
"Male",39,"Separated","GCSE","British","Moderate","The North","Yes"
"Female",32,"Married","GCSE","English","Low","The North","Yes"
"Female",30,"Married","University","Other","Moderate","The North","No"
"Female",68,"Married","GCSE","English","Moderate","The North","No"
"Female",47,"Married","Sub Degree","English","Low","The North","No"
"Male",30,"Single","Sub Degree","British","Moderate","The North","Yes"
"Male",60,"Separated","Without","English","Moderate","The North","Yes"
"Male",72,"Single","Sub Degree","English","Moderate","The North","No"
"Male",73,"Married","University","English","Moderate","The North","No"
"Female",48,"Separated","GCSE","English","Moderate","The North","Yes"
"Male",53,"Separated","University","English","High","The North","No"
"Female",58,"Married","GCSE","English","Low","The North","No"
"Female",34,"Married","ONC","English","Moderate","The North","No"
"Male",44,"Single","GCSE","British","Moderate","The North","No"
"Male",23,"Single","Without","English","Low","The North","No"
"Male",49,"Married","University","British","Moderate","The North","No"
"Male",30,"Married","University","British","Moderate","The North","No"
"Female",61,"Separated","GCSE","English","Low","The North","No"
"Male",38,"Separated","A Levels","British","Moderate","The North","Yes"
"Male",30,"Single","University","British","Moderate","The North","No"
"Female",44,"Married","A Levels","English","Moderate","The North","No"
"Male",91,"Separated","Without","English","Low","The North","No"
"Male",40,"Separated","GCSE","British","High","The North","No"
"Female",63,"Married","University","British","Low","The North","No"
"Female",61,"Separated","Without","British","Low","The North","Yes"
"Female",40,"Married","Sub Degree","English","Low","The North","No"
"Female",57,"Married","Without","British","Low","The North","Yes"
"Female",41,"Married","University","British","High","The North","No"
"Female",32,"Single","Without","English","Low","The North","Yes"
"Male",76,"Married","Without","English","Low","The North","No"
"Female",35,"Separated","GCSE","English","Moderate","The North","Yes"
"Male",70,"Married","Without","English","Low","The North","No"
"Female",75,"Separated","Without","British","Low","The North","No"
"Female",74,"Separated","Without","English","Low","The North","No"
"Male",49,"Married","University","British","High","The North","No"
"Female",56,"Married","GCSE","British","Low","The North","No"
"Male",60,"Married","University","English","Moderate","The North","No"
"Female",72,"Separated","Without","English","Low","The North","No"
"Male",17,"Single","GCSE","English","Low","The North","No"
"Female",23,"Single","University","English","Moderate","The North","No"
"Male",79,"Married","Without","English","Low","The North","No"
"Female",65,"Separated","Without","British","Low","The North","No"
"Female",57,"Married","University","English","Low","The North","No"
"Female",37,"Married","GCSE","British","Moderate","The North","No"
"Male",79,"Single","Without","English","Low","The North","No"
"Female",71,"Single","Without","English","Low","The North","No"
"Male",59,"Married","University","English","High","The North","Yes"
"Male",21,"Single","ONC","English","Moderate","The North","Yes"
"Female",66,"Married","Without","English","Low","The North","No"
"Male",58,"Married","Sub Degree","Welsh","High","The North","No"
"Male",38,"Married","GCSE","English","High","The North","Yes"
"Male",61,"Separated","Sub Degree","Scottish","Moderate","The North","No"
"Male",37,"Separated","University","English","High","The North","No"
"Female",38,"Married","GCSE","English","Low","The North","No"
"Male",34,"Married","University","English","High","The North","No"
"Female",34,"Married","Sub Degree","British","Moderate","The North","No"
"Female",20,"Single","GCSE","English","Low","The North","No"
"Female",77,"Separated","Without","English","Low","The North","Yes"
"Female",31,"Single","GCSE","English","Low","The North","Yes"
"Male",28,"Single","Without","English","Low","The North","Yes"
"Female",36,"Married","GCSE","British","Low","The North","No"
"Female",16,"Single","GCSE","British","Low","The North","Yes"
"Male",42,"Married","GCSE","English","Low","The North","No"
"Female",47,"Married","Sub Degree","English","Low","The North","No"
"Male",42,"Married","GCSE","British","High","The North","No"
"Female",67,"Separated","Without","British","Low","The North","No"
"Female",72,"Single","Without","English","Low","The North","No"
"Male",40,"Separated","GCSE","English","Moderate","The North","Yes"
"Female",34,"Single","University","English","High","The North","No"
"Male",75,"Married","Without","English","Moderate","The North","No"
"Female",35,"Married","GCSE","English","Low","The North","No"
"Female",40,"Separated","Without","British","Low","The North","Yes"
"Female",46,"Married","Without","British","Moderate","The North","No"
"Male",23,"Married","GCSE","English","Moderate","The North","No"
"Male",42,"Married","GCSE","British","Moderate","The North","No"
"Male",63,"Married","Without","English","Low","The North","No"
"Female",33,"Married","A Levels","British","Low","The North","No"
"Female",31,"Married","GCSE","English","Moderate","The North","No"
"Male",54,"Single","Without","English","Low","The North","No"
"Female",33,"Single","ONC","British","Moderate","The North","No"
"Female",24,"Single","University","English","Moderate","The North","Yes"
"Female",80,"Separated","Without","British","Low","The North","No"
"Female",77,"Single","Without","English","Low","The North","No"
"Male",51,"Married","Without","English","Moderate","The North","No"
"Female",75,"Single","Without","English","Low","The North","No"
"Female",24,"Single","University","Other","Low","The North","No"
"Male",78,"Separated","Without","English","Low","The North","Yes"
"Female",20,"Single","GCSE","British","Low","The North","No"
"Male",18,"Single","GCSE","English","Low","The North","No"
"Female",25,"Separated","ONC","English","Moderate","The North","No"
"Female",55,"Separated","Without","English","Low","The North","Yes"
"Female",29,"Married","Sub Degree","English","Moderate","The North","Yes"
"Female",67,"Separated","Without","English","Low","The North","No"
"Female",79,"Separated","Without","English","Low","The North","No"
"Male",44,"Single","Without","British","Moderate","The North","No"
"Male",47,"Married","University","British","Moderate","The North","No"
"Female",41,"Separated","GCSE","British","Moderate","The North","No"
"Female",31,"Married","GCSE","British","Moderate","The North","Yes"
"Male",32,"Married","Sub Degree","Scottish","Moderate","The North","No"
"Female",84,"Separated","Without","British","Low","The North","No"
"Male",67,"Married","Without","English","Moderate","The North","No"
"Male",49,"Married","Without","British","Moderate","The North","No"
"Male",69,"Married","Without","English","Low","The North","Yes"
"Male",64,"Married","Sub Degree","English","High","The North","Yes"
"Male",62,"Married","Without","English","Moderate","The North","No"
"Male",52,"Separated","Without","British","Low","The North","No"
"Male",45,"Married","ONC","English","High","The North","No"
"Female",28,"Separated","Without","English","Moderate","The North","Yes"
"Female",36,"Single","GCSE","English","Moderate","The North","No"
"Female",73,"Separated","Without","English","Low","The North","No"
"Male",48,"Separated","Without","English","Moderate","The North","No"
"Male",67,"Separated","Without","British","Moderate","The North","Yes"
"Female",38,"Separated","GCSE","British","Moderate","The North","No"
"Female",40,"Separated","GCSE","English","Moderate","The North","Yes"
"Male",43,"Single","Sub Degree","British","Moderate","The North","No"
"Female",30,"Single","University","English","Moderate","The North","No"
"Female",70,"Separated","Without","British","Low","The North","No"
"Female",82,"Separated","Without","British","Low","The North","No"
"Female",78,"Separated","Without","English","Low","The North","No"
"Male",21,"Single","GCSE","English","Low","The North","Yes"
"Male",67,"Separated","Without","English","Moderate","The North","No"
"Female",21,"Single","GCSE","English","Low","The North","Yes"
"Male",68,"Separated","Without","English","Low","The North","Yes"
"Male",41,"Married","Without","British","Low","The North","Yes"
"Male",33,"Single","GCSE","British","Moderate","The North","No"
"Female",28,"Married","Without","British","Low","The North","No"
"Female",75,"Married","Without","British","Low","The North","Yes"
"Female",21,"Single","Sub Degree","English","Low","The North","Yes"
"Female",69,"Separated","GCSE","English","Low","The North","No"
"Female",38,"Married","GCSE","English","Low","The North","No"
"Female",33,"Single","GCSE","English","Low","The North","Yes"
"Female",47,"Married","Without","English","Low","The North","No"
"Female",44,"Single","GCSE","English","Low","The North","Yes"
"Female",74,"Married","Without","English","Low","The North","No"
"Female",29,"Married","GCSE","English","Low","The North","No"
"Female",23,"Married","A Levels","Other","Low","The North","No"
"Female",72,"Separated","Without","English","Low","The North","No"
"Female",31,"Separated","Without","English","Low","The North","Yes"
"Female",48,"Married","Without","British","Low","The North","No"
"Female",29,"Married","GCSE","English","Low","The North","No"
"Male",72,"Married","Sub Degree","English","Low","The North","No"
"Female",68,"Single","University","English","Low","The North","No"
"Male",48,"Married","Sub Degree","British","Moderate","The North","Yes"
"Female",55,"Married","GCSE","English","Moderate","The North","No"
"Female",23,"Married","ONC","British","Moderate","The North","Yes"
"Female",66,"Separated","Without","British","Low","The North","No"
"Female",33,"Single","ONC","British","Moderate","The North","No"
"Female",37,"Married","GCSE","British","Low","The North","Yes"
"Male",42,"Married","University","English","Moderate","The North","No"
"Female",46,"Married","Without","British","Moderate","The North","Yes"
"Male",57,"Married","Sub Degree","English","High","The North","No"
"Female",36,"Married","GCSE","English","Low","The North","No"
"Female",51,"Married","GCSE","Scottish","Moderate","The North","No"
"Female",69,"Married","GCSE","English","Low","The North","No"
"Male",30,"Single","University","English","Moderate","The North","No"
"Male",51,"Married","Sub Degree","English","High","The North","No"
"Female",63,"Married","Without","British","Low","The North","No"
"Female",31,"Single","University","English","High","The North","No"
"Male",58,"Single","Without","British","Moderate","The North","No"
"Male",50,"Married","GCSE","English","Moderate","The North","Yes"
"Female",67,"Separated","Without","English","Low","The North","Yes"
"Female",45,"Single","University","British","Moderate","The North","No"
"Female",26,"Married","GCSE","English","Low","The North","No"
"Male",30,"Single","University","British","High","The North","No"
"Male",73,"Separated","Sub Degree","English","Low","The North","No"
"Female",52,"Married","Sub Degree","British","Low","The North","No"
"Male",18,"Single","Without","British","Moderate","The North","Yes"
"Male",52,"Married","Without","English","High","The North","No"
"Male",33,"Separated","GCSE","English","Moderate","The North","No"
"Female",56,"Separated","GCSE","English","Moderate","The North","No"
"Female",65,"Married","Without","English","Low","The North","No"
"Female",30,"Single","Without","British","Low","The North","No"
"Female",40,"Married","Without","British","Low","The North","Yes"
"Female",26,"Single","GCSE","English","Low","The North","Yes"
"Female",44,"Married","University","Welsh","High","The North","No"
"Female",80,"Separated","Without","British","Low","The North","No"
"Female",67,"Married","Without","English","Low","The North","No"
"Female",28,"Single","Sub Degree","English","Low","The North","Yes"
"Female",31,"Married","ONC","British","Moderate","The North","No"
"Male",25,"Single","GCSE","English","Moderate","The North","No"
"Female",64,"Married","Without","English","Low","The North","No"
"Male",68,"Married","Sub Degree","English","Low","The North","No"
"Female",61,"Separated","Without","English","Low","The North","No"
"Female",50,"Separated","Without","English","Moderate","The North","No"
"Male",43,"Married","Sub Degree","British","High","The North","No"
"Female",19,"Single","Without","Other","Low","The North","No"
"Female",21,"Married","GCSE","Other","Low","The North","No"
"Male",51,"Separated","University","English","Low","The North","No"
"Male",65,"Single","Sub Degree","British","Low","The North","No"
"Female",50,"Separated","Without","Other","Low","The North","No"
"Female",38,"Single","Sub Degree","English","Low","The North","No"
"Female",78,"Separated","Without","English","Low","The North","No"
"Male",74,"Separated","Without","Other","Low","The North","No"
"Female",22,"Single","University","Other","Low","The North","No"
"Male",66,"Married","Without","British","Low","The North","No"
"Female",48,"Single","Without","English","Low","The North","No"
"Female",59,"Married","Without","English","Low","The North","No"
"Female",76,"Separated","Without","British","Low","The North","Yes"
"Female",21,"Single","ONC","British","Low","The North","No"
"Female",47,"Married","GCSE","British","Moderate","The North","No"
"Female",77,"Separated","Without","British","Low","The North","No"
"Female",25,"Single","GCSE","English","Moderate","The North","Yes"
"Female",71,"Separated","Without","English","Low","The North","No"
"Female",24,"Single","GCSE","British","Low","The North","Yes"
"Female",90,"Separated","Without","English","Low","The North","No"
"Female",41,"Separated","GCSE","British","Low","The North","Yes"
"Female",69,"Married","Without","English","Low","The North","No"
"Female",35,"Married","GCSE","British","Moderate","The North","No"
"Female",32,"Single","Without","English","Low","The North","Yes"
"Female",48,"Single","GCSE","British","Moderate","The North","No"
"Female",34,"Married","Without","English","Low","The North","No"
"Female",28,"Married","GCSE","English","Low","The North","Yes"
"Male",56,"Married","GCSE","English","Moderate","The North","No"
"Male",51,"Married","Sub Degree","British","Moderate","The North","No"
"Female",63,"Married","Without","British","Low","The North","No"
"Male",44,"Married","University","English","High","The North","No"
"Female",45,"Married","Sub Degree","British","Moderate","The North","No"
"Male",55,"Married","Without","British","Moderate","The North","Yes"
"Female",55,"Married","Without","English","Low","The North","No"
"Female",57,"Married","GCSE","British","Low","The North","No"
"Male",76,"Married","A Levels","Scottish","Low","The North","No"
"Female",59,"Married","Without","British","Low","The North","No"
"Female",46,"Married","Without","British","Low","The North","No"
"Female",56,"Married","Without","British","Low","The North","No"
"Male",67,"Married","Without","British","Low","The North","No"
"Female",73,"Single","Sub Degree","English","Moderate","The North","No"
"Female",41,"Married","Sub Degree","English","Low","The North","No"
"Female",40,"Married","A Levels","British","Moderate","The North","No"
"Male",37,"Married","GCSE","English","Moderate","The North","No"
"Male",53,"Married","ONC","English","Moderate","The North","No"
"Female",35,"Married","Without","English","Low","The North","No"
"Female",39,"Married","GCSE","English","Moderate","The North","No"
"Female",31,"Separated","Sub Degree","English","Low","The North","No"
"Male",38,"Married","ONC","British","High","The North","No"
"Female",34,"Separated","GCSE","British","Moderate","The North","Yes"
"Female",36,"Married","A Levels","English","Moderate","The North","Yes"
"Male",31,"Single","University","English","Moderate","The North","No"
"Female",31,"Single","GCSE","British","Low","The North","Yes"
"Male",35,"Married","University","English","Moderate","The North","No"
"Male",42,"Married","Without","British","Moderate","The North","No"
"Male",30,"Single","GCSE","English","Moderate","The North","No"
"Female",39,"Separated","GCSE","British","Moderate","The North","No"
"Female",47,"Married","GCSE","Scottish","Moderate","The North","No"
"Male",38,"Married","Sub Degree","English","Moderate","The North","No"
"Female",29,"Separated","A Levels","English","Moderate","The North","No"
"Male",75,"Separated","Without","British","Low","The North","No"
"Male",55,"Married","Without","English","Moderate","The North","No"
"Male",42,"Married","Sub Degree","Other","High","The North","No"
"Female",39,"Married","University","English","High","The North","No"
"Male",64,"Married","GCSE","English","Low","The North","No"
"Female",84,"Separated","Without","English","Low","The North","No"
"Female",49,"Married","Sub Degree","British","Low","The North","No"
"Male",24,"Single","Sub Degree","English","Moderate","The North","No"
"Male",38,"Single","GCSE","Scottish","Moderate","The North","Yes"
"Female",45,"Married","University","Other","Moderate","The North","No"
"Female",47,"Separated","GCSE","British","Low","The North","No"
"Male",37,"Separated","Sub Degree","English","High","The North","No"
"Male",59,"Married","Sub Degree","English","Low","The North","No"
"Male",25,"Single","University","Other","High","The North","No"
"Male",56,"Married","Without","English","Moderate","The North","No"
"Female",71,"Separated","GCSE","British","Low","The North","No"
"Male",81,"Separated","Sub Degree","English","Moderate","The North","No"
"Male",55,"Married","A Levels","English","Moderate","Midlands & East Anglia","No"
"Male",42,"Married","GCSE","English","High","Midlands & East Anglia","No"
"Male",73,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",43,"Married","A Levels","English","High","Midlands & East Anglia","No"
"Female",57,"Separated","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",47,"Married","University","English","High","Midlands & East Anglia","No"
"Female",29,"Married","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",30,"Separated","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",58,"Married","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",58,"Married","University","English","High","Midlands & East Anglia","No"
"Male",70,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Female",45,"Single","Without","British","Low","Midlands & East Anglia","No"
"Male",37,"Single","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",44,"Separated","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",46,"Married","University","British","High","Midlands & East Anglia","No"
"Male",29,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Male",50,"Married","GCSE","English","High","Midlands & East Anglia","No"
"Female",51,"Married","Without","British","Low","Midlands & East Anglia","No"
"Male",80,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",85,"Married","A Levels","English","Low","Midlands & East Anglia","No"
"Female",49,"Married","Without","British","Low","Midlands & East Anglia","No"
"Male",52,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Female",58,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",49,"Married","University","British","Low","Midlands & East Anglia","No"
"Male",39,"Single","University","British","High","Midlands & East Anglia","No"
"Female",53,"Married","University","British","Low","Midlands & East Anglia","Yes"
"Female",71,"Married","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",29,"Single","Sub Degree","British","Moderate","Midlands & East Anglia","No"
"Female",66,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Male",75,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",45,"Separated","University","British","High","Midlands & East Anglia","No"
"Female",69,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",49,"Separated","University","British","Moderate","Midlands & East Anglia","No"
"Male",63,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",61,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",55,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Male",57,"Married","Sub Degree","British","Moderate","Midlands & East Anglia","No"
"Female",60,"Married","University","English","Low","Midlands & East Anglia","No"
"Male",58,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",76,"Separated","Without","English","Low","Midlands & East Anglia","Yes"
"Male",29,"Single","Sub Degree","British","Moderate","Midlands & East Anglia","Yes"
"Female",50,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",34,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",77,"Separated","Without","Other","Low","Midlands & East Anglia","No"
"Male",47,"Married","University","British","High","Midlands & East Anglia","No"
"Female",68,"Married","Without","British","Low","Midlands & East Anglia","No"
"Male",31,"Married","Sub Degree","English","High","Midlands & East Anglia","No"
"Male",41,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Female",55,"Married","Sub Degree","British","Low","Midlands & East Anglia","Yes"
"Male",66,"Married","A Levels","British","Low","Midlands & East Anglia","No"
"Female",80,"Married","Without","British","Low","Midlands & East Anglia","No"
"Female",45,"Married","University","British","Low","Midlands & East Anglia","No"
"Male",63,"Married","University","English","High","Midlands & East Anglia","No"
"Male",62,"Married","University","Scottish","Moderate","Midlands & East Anglia","No"
"Female",49,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",33,"Married","ONC","English","Moderate","Midlands & East Anglia","No"
"Male",58,"Married","University","British","High","Midlands & East Anglia","No"
"Female",33,"Separated","ONC","English","Low","Midlands & East Anglia","No"
"Male",65,"Married","University","British","High","Midlands & East Anglia","No"
"Female",39,"Single","University","Other","Moderate","Midlands & East Anglia","No"
"Female",57,"Married","Sub Degree","British","Moderate","Midlands & East Anglia","Yes"
"Female",31,"Married","A Levels","British","Low","Midlands & East Anglia","No"
"Male",79,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Female",16,"Single","GCSE","British","Low","Midlands & East Anglia","Yes"
"Female",54,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Female",37,"Separated","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",87,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",32,"Single","University","English","Low","Midlands & East Anglia","No"
"Male",72,"Married","Without","British","Low","Midlands & East Anglia","No"
"Male",20,"Married","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Male",77,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",63,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",56,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",34,"Single","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Female",24,"Married","A Levels","English","Moderate","Midlands & East Anglia","No"
"Female",42,"Single","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Male",71,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",48,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",38,"Separated","ONC","British","High","Midlands & East Anglia","No"
"Female",55,"Separated","A Levels","English","Low","Midlands & East Anglia","No"
"Male",50,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",30,"Single","ONC","English","Moderate","Midlands & East Anglia","No"
"Female",72,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",59,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",68,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Male",48,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Male",42,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",72,"Separated","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",86,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",57,"Separated","Without","English","Low","Midlands & East Anglia","Yes"
"Female",30,"Single","University","British","Moderate","Midlands & East Anglia","No"
"Female",25,"Separated","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Male",67,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",33,"Separated","GCSE","English","High","Midlands & East Anglia","No"
"Female",51,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",54,"Married","Without","English","Moderate","Midlands & East Anglia","No"
